ID	Language_ID	Parameter_ID	Form	Value	Segments
mnc-708_sink-1	mnc	708_sink	ɤjɤmpi	eyembi	ɤ j ɤ m p i
mnc-643_we-1	mnc	643_we	pɤ	be	p ɤ
mnc-107_covebay-1	mnc	107_covebay	pirkan	birgan	p i r k a n
mnc-66_earth-2	mnc	66_earth	pɔixɔn	boihon	p ɔ i x ɔ n
mnc-991_brag-1	mnc	991_brag	fijɔtʰɔmpi	fiyotombi	f i j ɔ tʰ ɔ m p i
mnc-267_place-1	mnc	267_place	pa	ba	p a
mnc-187_silver-1	mnc	187_silver	mɤŋkun	menggun	m ɤ ŋ k u n
mnc-547_stingy-2	mnc	547_stingy	d͡ʒipkɤ	jibge	dʒ i p k ɤ
mnc-259_circle-1	mnc	259_circle	fukʰa	fuka	f u kʰ a
mnc-913_lead-2	mnc	913_lead	kʰatalampi	kadalambi	kʰ a t a l a m p i
mnc-253_matter-2	mnc	253_matter	wɤilɤ	weile	w ɤ i l ɤ
mnc-450_day-1	mnc	450_day	ʃun	šun	ʃ u n
mnc-828_hangup-1	mnc	828_hangup	lakʰijampi	lakiyambi	l a kʰ i j a m p i
mnc-732_tremble-1	mnc	732_tremble	turpɤmpi	durbembi	t u r p ɤ m p i
mnc-273_edge-2	mnc	273_edge	d͡ʒɔtɔrxɔ	jodorho	dʒ ɔ t ɔ r x ɔ
mnc-854_bite-1	mnc	854_bite	ʃufampi	šufambi	ʃ u f a m p i
mnc-843_spin-1	mnc	843_spin	sirɤmpi	sirembi	s i r ɤ m p i
mnc-892_spoil-2	mnc	892_spoil	kʊwalijampi	gūwaliyambi	k ʊ w a l i j a m p i
mnc-238_noise-1	mnc	238_noise	d͡ʒilkan	jilgan	dʒ i l k a n
mnc-116_twig-1	mnc	116_twig	mɔɔ	moo	m ɔ ɔ
mnc-735_breathe-1	mnc	735_breathe	ɤrkɤn kaimpi	ergen gaimbi	ɤ r k ɤ n + k a i m p i
mnc-906_cover-3	mnc	906_cover	tɔptʰɔlɔɔpi	dobtoloobi	t ɔ p tʰ ɔ l ɔ ɔ p i
mnc-705_rot-1	mnc	705_rot	iptʰɤnɤmpi	ibtenembi	i p tʰ ɤ n ɤ m p i
mnc-987_tell-1	mnc	987_tell	alampi	alambi	a l a m p i
mnc-441_gun-1	mnc	441_gun	mijɔɔt͡ʃan	miyoocan	m i j ɔ ɔ tʃ a n
mnc-111_root-2	mnc	111_root	fulɤxɤ	fulehe	f u l ɤ x ɤ
mnc-862_glue-2	mnc	862_glue	amtulampi	amdulambi	a m t u l a m p i
mnc-503_warm-2	mnc	503_warm	pulukʰan	bulukan	p u l u kʰ a n
mnc-376_belt-2	mnc	376_belt	umijɤsun	umiyesun	u m i j ɤ s u n
mnc-534_precious-3	mnc	534_precious	pujɤt͡ʃukʰɤ	buyecuke	p u j ɤ tʃ u kʰ ɤ
mnc-753_budge-3	mnc	753_budge	tʰɤɔtɤnd͡ʒɤmpi	teodenjembi	tʰ ɤ ɔ t ɤ n dʒ ɤ m p i
mnc-757_walk-2	mnc	757_walk	kʰɤlfiʃɤmpi	kelfišembi	kʰ ɤ l f i ʃ ɤ m p i
mnc-730_shout-2	mnc	730_shout	kʰait͡ʃampi	kaicambi	kʰ a i tʃ a m p i
mnc-802_watch-2	mnc	802_watch	tʰuwaʃatʰampi	tuwašatambi	tʰ u w a ʃ a tʰ a m p i
mnc-628_again-2	mnc	628_again	taptʰan	dabtan	t a p tʰ a n
mnc-979_comb-1	mnc	979_comb	id͡ʒimpi	ijimbi	i dʒ i m p i
mnc-884_add-3	mnc	884_add	d͡ʒalkijampi	jalgiyambi	dʒ a l k i j a m p i
mnc-885_get-3	mnc	885_get	alimɤ kaimpi	alime gaimbi	a l i m ɤ + k a i m p i
mnc-958_water-1	mnc	958_water	suitʰampi	suitambi	s u i tʰ a m p i
mnc-167_louse-1	mnc	167_louse	t͡ʃixɤ	cihe	tʃ i x ɤ
mnc-743_getup-2	mnc	743_getup	tɤkʰtɤlɤmpi	dekdelembi	t ɤ kʰ t ɤ l ɤ m p i
mnc-683_begin-2	mnc	683_begin	tɔkʰtʰɔlanpi	doktolanbi	t ɔ kʰ tʰ ɔ l a n p i
mnc-314_bed-1	mnc	314_bed	pɤsɤrkɤn	besergen	p ɤ s ɤ r k ɤ n
mnc-815_start-2	mnc	815_start	tɔkʰtʰɔlampi	doktolambi	t ɔ kʰ tʰ ɔ l a m p i
mnc-747_ache-2	mnc	747_ache	fintʰampi	fintambi	f i n tʰ a m p i
mnc-611_ahead-1	mnc	611_ahead	nɤnɤmpi	nenembi	n ɤ n ɤ m p i
mnc-789_love-3	mnc	789_love	tɔsxɔlɔmpi	dosholombi	t ɔ s x ɔ l ɔ m p i
mnc-557_living-2	mnc	557_living	ɤrkɤŋkɤ	ergengge	ɤ r k ɤ ŋ k ɤ
mnc-618_up-1	mnc	618_up	wɤsixun	wesihun	w ɤ s i x u n
mnc-752_move-3	mnc	752_move	kurimpi	gurimbi	k u r i m p i
mnc-958_water-2	mnc	958_water	xuŋkʰɤrɤmpi	hungkerembi	x u ŋ kʰ ɤ r ɤ m p i
mnc-322_ladder-1	mnc	322_ladder	wan	wan	w a n
mnc-877_throw-2	mnc	877_throw	makʰtʰampi	maktambi	m a kʰ tʰ a m p i
mnc-22_navel-1	mnc	22_navel	t͡ʃuŋkuru	cungguru	tʃ u ŋ k u r u
mnc-678_sit-1	mnc	678_sit	tʰɤmpi	tembi	tʰ ɤ m p i
mnc-195_child-1	mnc	195_child	d͡ʒui	jui	dʒ u i
mnc-62_wave-1	mnc	62_wave	pɔld͡ʒɔn	boljon	p ɔ l dʒ ɔ n
mnc-334_picture-2	mnc	334_picture	nirukan	nirugan	n i r u k a n
mnc-463_february-1	mnc	463_february	d͡ʒuwɤ pija	juwe biya	dʒ u w ɤ + p i j a
mnc-910_teach-1	mnc	910_teach	tʰat͡ʃipumpi	tacibumbi	tʰ a tʃ i p u m p i
mnc-666_thirty-1	mnc	666_thirty	kʊnin	gūnin	k ʊ n i n
mnc-42_vein-3	mnc	42_vein	sutala	sudala	s u t a l a
mnc-792_move-1	mnc	792_move	arpuʃampi	arbušambi	a r p u ʃ a m p i
mnc-387_blanket-1	mnc	387_blanket	d͡ʒafu	jafu	dʒ a f u
mnc-8_cheek-1	mnc	8_cheek	ʃakʰʃaxa	šakšaha	ʃ a kʰ ʃ a x a
mnc-514_clean-1	mnc	514_clean	pɔlkɔ	bolgo	p ɔ l k ɔ
mnc-490_delicatefine-2	mnc	490_delicatefine	nilukʰan	nilukan	n i l u kʰ a n
mnc-765_climb-1	mnc	765_climb	ujulɤmpi	uyulembi	u j u l ɤ m p i
mnc-934_beat-1	mnc	934_beat	fɤkʰt͡ʃɤmpi	fekcembi	f ɤ kʰ tʃ ɤ m p i
mnc-67_dust-3	mnc	67_dust	purakʰi tʰɔrɔn	buraki toron	p u r a kʰ i + tʰ ɔ r ɔ n
mnc-841_bow-2	mnc	841_bow	kɔxɔrɔmpi	gohorombi	k ɔ x ɔ r ɔ m p i
mnc-218_spirit-1	mnc	218_spirit	ɔɔri simɤn	oori simen	ɔ ɔ r i + s i m ɤ n
mnc-852_scrape-1	mnc	852_scrape	uʃampi	ušambi	u ʃ a m p i
mnc-749_recover-2	mnc	749_recover	sɤpimpitʰɔmsɔmpi	sebimbitomsombi	s ɤ p i m p i tʰ ɔ m s ɔ m p i
mnc-204_son-1	mnc	204_son	d͡ʒui	jui	dʒ u i
mnc-693_revolve-1	mnc	693_revolve	tʰɔrxɔmpi	torhombi	tʰ ɔ r x ɔ m p i
mnc-305_staff-2	mnc	305_staff	tʰɤifun	teifun	tʰ ɤ i f u n
mnc-586_long-1	mnc	586_long	kɔlmin	golmin	k ɔ l m i n
mnc-341_coverlid-1	mnc	341_coverlid	tɔptʰɔlɔɔpi	dobtoloobi	t ɔ p tʰ ɔ l ɔ ɔ p i
mnc-528_blue-2	mnc	528_blue	kʰʊkʰɤ	kūke	kʰ ʊ kʰ ɤ
mnc-961_boil-1	mnc	961_boil	pud͡ʒumpi	bujumbi	p u dʒ u m p i
mnc-282_height-1	mnc	282_height	kʰuru	kuru	kʰ u r u
mnc-355_fat-2	mnc	355_fat	tʰarxʊn	tarhūn	tʰ a r x ʊ n
mnc-790_like-1	mnc	790_like	t͡ʃixalampi	cihalambi	tʃ i x a l a m p i
mnc-956_milk-1	mnc	956_milk	sampi	sambi	s a m p i
mnc-416_god-2	mnc	416_god	ɤnturi	enduri	ɤ n t u r i
mnc-383_mirror-2	mnc	383_mirror	pulɤkʰu	buleku	p u l ɤ kʰ u
mnc-764_jump-1	mnc	764_jump	fɤkʰumpi	fekumbi	f ɤ kʰ u m p i
mnc-942_deceive-1	mnc	942_deceive	xɔʃʃɔmpi	hoššombi	x ɔ ʃ ʃ ɔ m p i
mnc-896_destroy-2	mnc	896_destroy	ɤptɤrɤmpi	ebderembi	ɤ p t ɤ r ɤ m p i
mnc-212_joy-1	mnc	212_joy	kʰɤkʰsɤn	keksen	kʰ ɤ kʰ s ɤ n
mnc-185_iron-2	mnc	185_iron	xuwɤʃɤkʰu	huwešeku	x u w ɤ ʃ ɤ kʰ u
mnc-798_flee-2	mnc	798_flee	pijalumɤ japumpi	biyalume yabumbi	p i j a l u m ɤ + j a p u m p i
mnc-152_goose-1	mnc	152_goose	ɲɔŋnijaxa	niongniyaha	ɲ ɔ ŋ n i j a x a
mnc-335_figure-1	mnc	335_figure	ʊrɤn	ūren	ʊ r ɤ n
mnc-180_trap-1	mnc	180_trap	ɤjɤ	eye	ɤ j ɤ
mnc-277_hole-1	mnc	277_hole	jɤru	yeru	j ɤ r u
mnc-751_perish-1	mnc	751_perish	susampi	susambi	s u s a m p i
mnc-788_prepare-2	mnc	788_prepare	takilampi	dagilambi	t a k i l a m p i
mnc-997_grasp-1	mnc	997_grasp	parkʰijampi	barkiyambi	p a r kʰ i j a m p i
mnc-150_chicken-1	mnc	150_chicken	t͡ʃɔkʰɔ	coko	tʃ ɔ kʰ ɔ
mnc-974_bath-1	mnc	974_bath	ɤpiʃɤmpi	ebišembi	ɤ p i ʃ ɤ m p i
mnc-391_force-1	mnc	391_force	xʊsun	hūsun	x ʊ s u n
mnc-808_seem-1	mnc	808_seem	tʰut͡ʃinɤmpi	tucinembi	tʰ u tʃ i n ɤ m p i
mnc-571_famous-1	mnc	571_famous	alkintʰu	algintu	a l k i n tʰ u
mnc-868_shake-2	mnc	868_shake	tɤŋkɤld͡ʒɤmpi	denggeljembi	t ɤ ŋ k ɤ l dʒ ɤ m p i
mnc-370_paint-1	mnc	370_paint	ʃukin	šugin	ʃ u k i n
mnc-691_stream-1	mnc	691_stream	ɤjɤmpi	eyembi	ɤ j ɤ m p i
mnc-383_mirror-1	mnc	383_mirror	tʰɔli	toli	tʰ ɔ l i
mnc-106_sea-2	mnc	106_sea	mɤtɤri	mederi	m ɤ t ɤ r i
mnc-304_stick-1	mnc	304_stick	mɔɔ	moo	m ɔ ɔ
mnc-82_hoarfrost-1	mnc	82_hoarfrost	kɤt͡ʃɤn	gecen	k ɤ tʃ ɤ n
mnc-962_bake-1	mnc	962_bake	fijakʰʊmpi	fiyakūmbi	f i j a kʰ ʊ m p i
mnc-142_squirrel-1	mnc	142_squirrel	sɔisɔn	soison	s ɔ i s ɔ n
mnc-992_translate-2	mnc	992_translate	tʰuŋsɤrɤmpi	tungserembi	tʰ u ŋ s ɤ r ɤ m p i
mnc-461_winter-1	mnc	461_winter	tʰuwɤri	tuweri	tʰ u w ɤ r i
mnc-632_under-1	mnc	632_under	wala	wala	w a l a
mnc-392_strength-1	mnc	392_strength	kʰulun	kulun	kʰ u l u n
mnc-912_bringup-2	mnc	912_bringup	d͡ʒɔntɔmpi	jondombi	dʒ ɔ n t ɔ m p i
mnc-430_country-1	mnc	430_country	kurun	gurun	k u r u n
mnc-105_land-1	mnc	105_land	pa na	ba na	p a + n a
mnc-326_fork-1	mnc	326_fork	fad͡ʒʊ	fajū	f a dʒ ʊ
mnc-505_cool-2	mnc	505_cool	sɤrkuwɤn	serguwen	s ɤ r k u w ɤ n
mnc-574_near-1	mnc	574_near	xant͡ʃi	hanci	x a n tʃ i
mnc-201_parents-1	mnc	201_parents	d͡ʒuru nijaman	juru niyaman	dʒ u r u + n i j a m a n
mnc-935_kick-1	mnc	935_kick	makʰtʰampi	maktambi	m a kʰ tʰ a m p i
mnc-465_april-1	mnc	465_april	tuin pija	duin biya	t u i n + p i j a
mnc-862_glue-1	mnc	862_glue	latʰumpi	latumbi	l a tʰ u m p i
mnc-644_you-1	mnc	644_you	suwɤ	suwe	s u w ɤ
mnc-550_dear-1	mnc	550_dear	xad͡ʒi	haji	x a dʒ i
mnc-839_alter-1	mnc	839_alter	fɔrkɔʃɔmpi	forgošombi	f ɔ r k ɔ ʃ ɔ m p i
mnc-540_fat-1	mnc	540_fat	tʰarxʊn	tarhūn	tʰ a r x ʊ n
mnc-748_cough-1	mnc	748_cough	fut͡ʃixijampi	fucihiyambi	f u tʃ i x i j a m p i
mnc-988_convey-1	mnc	988_convey	ulampi	ulambi	u l a m p i
mnc-348_food-1	mnc	348_food	puta	buda	p u t a
mnc-564_new-3	mnc	564_new	sɔniŋka	soningga	s ɔ n i ŋ k a
mnc-305_staff-1	mnc	305_staff	tarxʊwan	darhūwan	t a r x ʊ w a n
mnc-526_red-1	mnc	526_red	fulkijan	fulgiyan	f u l k i j a n
mnc-878_catch-2	mnc	878_catch	nampumpi	nambumbi	n a m p u m p i
mnc-39_body-1	mnc	39_body	pɤjɤ	beye	p ɤ j ɤ
mnc-160_fish-1	mnc	160_fish	nimaxa	nimaha	n i m a x a
mnc-98_cave-2	mnc	98_cave	tuŋku	dunggu	t u ŋ k u
mnc-631_behind-2	mnc	631_behind	amrki	amrgi	a m r k i
mnc-134_cow-1	mnc	134_cow	ixan	ihan	i x a n
mnc-119_pine-1	mnc	119_pine	d͡ʒakʰtan	jakdan	dʒ a kʰ t a n
mnc-421_teacher-3	mnc	421_teacher	tʰat͡ʃipukʰʊ	tacibukū	tʰ a tʃ i p u kʰ ʊ
mnc-907_wake-1	mnc	907_wake	ant kɤtʰɤmpi	and getembi	a n t + k ɤ tʰ ɤ m p i
mnc-695_swing-1	mnc	695_swing	t͡ʃɤkʰutɤmpi	cekudembi	tʃ ɤ kʰ u t ɤ m p i
mnc-961_boil-2	mnc	961_boil	fɤifumpi	feifumbi	f ɤ i f u m p i
mnc-902_wish-1	mnc	902_wish	paimpi	baimbi	p a i m p i
mnc-444_damage-2	mnc	444_damage	kʰɔkʰiran	kokiran	kʰ ɔ kʰ i r a n
mnc-378_shoe-1	mnc	378_shoe	sapu	sabu	s a p u
mnc-217_desire-1	mnc	217_desire	pujɤt͡ʃun	buyecun	p u j ɤ tʃ u n
mnc-852_scrape-2	mnc	852_scrape	ʃariŋkijampi	šaringgiyambi	ʃ a r i ŋ k i j a m p i
mnc-338_bundle-1	mnc	338_bundle	pɔɔsɤ	boose	p ɔ ɔ s ɤ
mnc-495_soft-3	mnc	495_soft	kɤŋkɤn	genggen	k ɤ ŋ k ɤ n
mnc-210_husband-1	mnc	210_husband	ɤikɤn	eigen	ɤ i k ɤ n
mnc-395_pain-1	mnc	395_pain	nimɤkʰu	nimeku	n i m ɤ kʰ u
mnc-405_village-1	mnc	405_village	tʰɔkʰsɔ	tokso	tʰ ɔ kʰ s ɔ
mnc-3_nose-1	mnc	3_nose	ɔfɔrɔ	oforo	ɔ f ɔ r ɔ
mnc-242_calm-1	mnc	242_calm	ɤlxɤ	elhe	ɤ l x ɤ
mnc-327_spoon-1	mnc	327_spoon	kʰuini	kuini	kʰ u i n i
mnc-775_depart-3	mnc	775_depart	multʰud͡ʒɤmpi	multujembi	m u l tʰ u dʒ ɤ m p i
mnc-375_trousers-1	mnc	375_trousers	fakʰʊri	fakūri	f a kʰ ʊ r i
mnc-971_rinse-1	mnc	971_rinse	wɤrɤmpi	werembi	w ɤ r ɤ m p i
mnc-636_becauseof-1	mnc	636_becauseof	d͡ʒakʰatɤ	jakade	dʒ a kʰ a t ɤ
mnc-45_brain-1	mnc	45_brain	fɤxi	fehi	f ɤ x i
mnc-731_groan-1	mnc	731_groan	nitʰumpi	nitumbi	n i tʰ u m p i
mnc-844_turnover-1	mnc	844_turnover	fɔrɔmpi	forombi	f ɔ r ɔ m p i
mnc-897_burn-1	mnc	897_burn	tampi	dambi	t a m p i
mnc-229_news-1	mnc	229_news	mɤd͡ʒikɤ	mejige	m ɤ dʒ i k ɤ
mnc-440_arrow-2	mnc	440_arrow	sirtan	sirdan	s i r t a n
mnc-649_whereto-1	mnc	649_whereto	aipitɤ	aibide	a i p i t ɤ
mnc-924_separate-2	mnc	924_separate	fakʰt͡ʃampi	fakcambi	f a kʰ tʃ a m p i
mnc-433_power-3	mnc	433_power	xɔtʰɔn tʰɔɔsɤ	hoton toose	x ɔ tʰ ɔ n + tʰ ɔ ɔ s ɤ
mnc-924_separate-1	mnc	924_separate	tɤlxɤmpi	delhembi	t ɤ l x ɤ m p i
mnc-312_chair-1	mnc	312_chair	isɤ	ise	i s ɤ
mnc-556_sad-1	mnc	556_sad	urɤmpi	urembi	u r ɤ m p i
mnc-367_thread-2	mnc	367_thread	tʰɔŋkɔ	tonggo	tʰ ɔ ŋ k ɔ
mnc-775_depart-1	mnc	775_depart	ukʰsalampi	uksalambi	u kʰ s a l a m p i
mnc-546_diligent-2	mnc	546_diligent	kʰit͡ʃɤpɤ	kicebe	kʰ i tʃ ɤ p ɤ
mnc-502_hot-1	mnc	502_hot	ʃalu	šalu	ʃ a l u
mnc-593_soon-1	mnc	593_soon	atʰaŋki ɔt͡ʃipɤ	atanggi ocibe	a tʰ a ŋ k i + ɔ tʃ i p ɤ
mnc-507_damp-1	mnc	507_damp	surkin	surgin	s u r k i n
mnc-278_angle-2	mnc	278_angle	turpɤd͡ʒɤn	durbejen	t u r p ɤ dʒ ɤ n
mnc-31_fingernail-1	mnc	31_fingernail	xitʰaxʊn	hitahūn	x i tʰ a x ʊ n
mnc-752_move-1	mnc	752_move	arpuʃampi	arbušambi	a r p u ʃ a m p i
mnc-197_girl-2	mnc	197_girl	sarkan d͡ʒui	sargan jui	s a r k a n + dʒ u i
mnc-685_change-1	mnc	685_change	xalampi	halambi	x a l a m p i
mnc-937_shove-1	mnc	937_shove	anampi	anambi	a n a m p i
mnc-985_ask-1	mnc	985_ask	fɔnd͡ʒimpi	fonjimbi	f ɔ n dʒ i m p i
mnc-543_evil-1	mnc	543_evil	ɤxɤ	ehe	ɤ x ɤ
mnc-577_right-1	mnc	577_right	it͡ʃi	ici	i tʃ i
mnc-489_thin-2	mnc	489_thin	nijɤkʰʃɤ	niyekše	n i j ɤ kʰ ʃ ɤ
mnc-462_january-1	mnc	462_january	anija pija	aniya biya	a n i j a + p i j a
mnc-184_filth-3	mnc	184_filth	fɔŋsɔŋki	fongsonggi	f ɔ ŋ s ɔ ŋ k i
mnc-76_rain-1	mnc	76_rain	aka	aga	a k a
mnc-631_behind-1	mnc	631_behind	amala	amala	a m a l a
mnc-46_heart-1	mnc	46_heart	nijaman	niyaman	n i j a m a n
mnc-977_puton-1	mnc	977_puton	kitampi	gidambi	k i t a m p i
mnc-484_short-1	mnc	484_short	fɔxɔlɔn	foholon	f ɔ x ɔ l ɔ n
mnc-690_blow-1	mnc	690_blow	tɤjɤmpi	deyembi	t ɤ j ɤ m p i
mnc-332_handle-1	mnc	332_handle	fɤsin	fesin	f ɤ s i n
mnc-326_fork-2	mnc	326_fork	ʃɔlɔn	šolon	ʃ ɔ l ɔ n
mnc-539_weak-3	mnc	539_weak	ɤpɤrxun	eberhun	ɤ p ɤ r x u n
mnc-564_new-1	mnc	564_new	arta	arda	a r t a
mnc-870_pour-3	mnc	870_pour	suitʰampi	suitambi	s u i tʰ a m p i
mnc-220_memory-3	mnc	220_memory	mɤrkʰin	merkin	m ɤ r kʰ i n
mnc-521_sour-1	mnc	521_sour	d͡ʒuʃuxun	jušuhun	dʒ u ʃ u x u n
mnc-616_down-1	mnc	616_down	fuŋkaxa	funggaha	f u ŋ k a x a
mnc-11_hair-1	mnc	11_hair	funijɤxɤ	funiyehe	f u n i j ɤ x ɤ
mnc-716_grow-1	mnc	716_grow	fulxurɤmpi	fulhurembi	f u l x u r ɤ m p i
mnc-800_see-2	mnc	800_see	sapumpi	sabumbi	s a p u m p i
mnc-953_drive-3	mnc	953_drive	talimpi	dalimbi	t a l i m p i
mnc-584_atonce-1	mnc	584_atonce	ɤmu tɤrɤi	emu derei	ɤ m u + t ɤ r ɤ i
mnc-60_air-1	mnc	60_air	sukʰtun	sukdun	s u kʰ t u n
mnc-904_kiss-1	mnc	904_kiss	ɔd͡ʒɔmpi	ojombi	ɔ dʒ ɔ m p i
mnc-113_trunk-1	mnc	113_trunk	ta	da	t a
mnc-936_sting-2	mnc	936_sting	fɤrkimpi	fergimbi	f ɤ r k i m p i
mnc-564_new-2	mnc	564_new	kʰiʃan	kišan	kʰ i ʃ a n
mnc-876_keep-1	mnc	876_keep	kʰarmampi	karmambi	kʰ a r m a m p i
mnc-340_bucket-1	mnc	340_bucket	sixan	sihan	s i x a n
mnc-865_sharpen-3	mnc	865_sharpen	nilampi	nilambi	n i l a m p i
mnc-302_supportrest-2	mnc	302_supportrest	paŋtʰu	bangtu	p a ŋ tʰ u
mnc-847_lift-2	mnc	847_lift	wɤsimpi	wesimbi	w ɤ s i m p i
mnc-426_ware-1	mnc	426_ware	xat͡ʃin	hacin	x a tʃ i n
mnc-424_shop-1	mnc	424_shop	d͡ʒalan	jalan	dʒ a l a n
mnc-903_praise-2	mnc	903_praise	alkitampi	algidambi	a l k i t a m p i
mnc-881_divide-1	mnc	881_divide	t͡ʃaximpi	cahimbi	tʃ a x i m p i
mnc-919_meet-1	mnc	919_meet	taxat͡ʃampi	dahacambi	t a x a tʃ a m p i
